Surname,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,Surname_tfidf_0,Surname_tfidf_1,Surname_tfidf_2,Surname_tfidf_3,Surname_tfidf_4,France,Germany,Spain,Female,Male,Mem__no__Products,Cred_Bal_Sal,Bal_sal,Tenure_Age,Age_Tenure_product
2653,681.0,47.0,5.0,0.0,1.0,1,1,72945.68,0,"-18.971.648.330.113.100,00","12.070.263.511.534.400,00","18.335.403.906.103.200,00","6.666.282.489.581.940,00","-4.806.668.023.290.610,00",1,0,0,0,1,1.0,0.0,0.0,"10.638.297.872.340.400,00",235.0
545,703.0,33.0,7.0,190566.65,1.0,1,1,79997.14,0,"6.978.305.687,21","-17.313.896.779,75","-250.980.223.674,81","11.816.984.951.506.200,00","-13.208.576.987.471.600,00",1,0,0,1,0,1.0,"1.674.664.306.123.940,00","2.382.168.287.516.270,00","21.212.121.212.121.200,00",231.0
2665,549.0,25.0,5.0,0.0,2.0,1,0,162260.93,0,"-122.964.167.187,08","-1.650.446.416.310.130,00","-22.538.153.569.832.700,00","-2.738.755.264.670.330,00","18.778.913.648.396.700,00",1,0,0,1,0,0.0,0.0,0.0,0.2,125.0
1630,602.0,36.0,7.0,0.0,2.0,0,1,135082.47,0,"-147.981.858,81","257.238.893,01","130.027.623,19","-4.505.879.889,11","-48.417.524,82",1,0,0,0,1,2.0,0.0,0.0,"19.444.444.444.444.400,00",252.0
827,636.0,36.0,4.0,117559.05,2.0,1,0,111573.3,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0.0,"6.701.205.019.480.460,00","10.536.485.879.686.200,00","1.111.111.111.111.110,00",144.0
1117,645.0,55.0,8.0,120105.43,1.0,1,0,125083.29,1,"15.788.093,97","1.339.751.404,72","982.202.565,42","-851.220.682,80","31.538.832.140,29",0,1,0,1,0,0.0,"6.193.313.459.375.740,00","9.602.036.371.125.190,00","14.545.454.545.454.500,00",440.0
2655,559.0,61.0,1.0,153711.26,1.0,0,1,180890.4,1,"-23.882.816.940.825.800,00","20.453.348.806.758.500,00","26.712.710.874.340.100,00","9.073.146.426.820.740,00","-61.929.869.178.883.900,00",1,0,0,0,1,1.0,"4.750.091.455.378.500,00","8.497.480.242.179.790,00","1.639.344.262.295.080,00",61.0
2673,773.0,35.0,9.0,0.0,2.0,0,1,87549.36,0,"-26.443.817,37","-11.983.702.160,26","688.899.662,48","-5.059.024.647,32","-35.232.245.924,47",0,0,1,0,1,2.0,0.0,0.0,"2.571.428.571.428.570,00",315.0
1949,554.0,41.0,8.0,0.0,2.0,1,0,113926.31,0,"8.471.147.120,84","21.837.362.299,51","7.798.851.777,19","69.162.909.430,92","-485.573.430.100,68",1,0,0,0,1,0.0,0.0,0.0,"1.951.219.512.195.120,00",328.0
2638,553.0,43.0,9.0,85200.82,1.0,1,0,160574.09,0,"56,63","-7.627,46","155.716,38","-1.378.344,35","343.949,42",0,1,0,1,0,0.0,"2.934.225.157.994.040,00","5.306.012.943.931.360,00","20.930.232.558.139.500,00",387.0
30,554.0,44.0,9.0,121823.26,1.0,1,0,79577.68,1,"-1.213.109,19","-1.289.548,25","-2.706.658,70","768.249,65","-31.543,31",0,1,0,0,1,0.0,"848.103.212.358.038,00","1.530.872.224.472.990,00","20.454.545.454.545.400,00",396.0
1997,714.0,26.0,6.0,149879.66,2.0,1,1,50016.17,0,"-3.071.787,73","-335.803.793,63","-183.154.883,51","-78.246.606,75","-47.982.182,45",1,0,0,0,1,2.0,"21.395.896.015.228.600,00","2.996.624.091.768.720,00","23.076.923.076.923.000,00",156.0
2377,703.0,39.0,9.0,0.0,1.0,1,0,131363.57,1,"-70,24","613,29","-793,51","371,41","19.396,82",0,0,1,0,1,0.0,0.0,0.0,"23.076.923.076.923.000,00",351.0
2713,616.0,31.0,3.0,136789.14,2.0,0,1,59346.4,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,2.0,"14.198.352.425.757.900,00","23.049.273.418.438.100,00","967.741.935.483.871,00",93.0
2436,586.0,58.0,2.0,147262.11,1.0,1,1,100835.19,0,"-3.095.615.848.582.260,00","20.076.940.125.195.500,00","10.732.717.494.565.800,00","-2.162.793.856.410.280,00","11.919.481.848.666.800,00",1,0,0,1,0,1.0,"8.558.083.389.340.560,00","14.604.237.865.768.800,00","34.482.758.620.689.600,00",116.0
482,785.0,41.0,4.0,0.0,1.0,1,0,170968.99,1,"-15.277.518.777,84","16.693.881.256,60","9.154.311.058,26","453.986.790,14","-255.633.631.343,78",0,0,1,0,1,0.0,0.0,0.0,"975.609.756.097.561,00",164.0
2883,834.0,49.0,6.0,0.0,2.0,1,0,81999.53,0,"278.257,08","-22.738.102,79","-30.431.361,52","6.418.131,74","-934.718,88",1,0,0,0,1,0.0,0.0,0.0,"12.244.897.959.183.600,00",294.0
1470,632.0,32.0,5.0,0.0,2.0,1,1,105817.87,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,2.0,0.0,0.0,"15.625,00",160.0
1463,746.0,33.0,7.0,0.0,2.0,1,1,178067.33,0,"-302,62","726,29","58,76","23.620,54","-1.241,23",1,0,0,0,1,2.0,0.0,0.0,"21.212.121.212.121.200,00",231.0
2020,797.0,55.0,0.0,99208.46,2.0,0,1,62402.38,1,"-4.219.326,55","-26.771.503,81","-9.412.722,45","-455.103.980,70","1.972.053.876,01",0,0,1,1,0,2.0,"12.670.853.678.978.200,00","1.589.818.529.357.370,00",0.0,0.0
439,753.0,36.0,9.0,128518.98,1.0,1,0,44567.83,0,"9.435.391.956.805.470,00","-437.092.743.211.754,00","14.211.820.352.228.600,00","21.750.816.178.329.000,00","-551.499.343.660.105,00",1,0,0,1,0,0.0,"2.171.404.619.430.650,00","28.836.714.733.474.700,00",0.25,324.0
527,749.0,50.0,5.0,132576.25,1.0,1,0,125939.18,1,"6.071.709.007,52","-20.304.864.728.779.100,00","-2.009.966.799.087.220,00","13.339.415.358.407.100,00","-992.226.357.784.468,00",0,1,0,0,1,0.0,"7.884.727.473.213.650,00","10.527.005.972.247.800,00",0.1,250.0
2107,413.0,28.0,3.0,130969.77,2.0,1,1,158891.79,0,"44,59","1.623,62","36.805,80","-17.344,23","-8.553,08",0,1,0,0,1,2.0,"3.404.235.990.418.380,00","8.242.702.155.976.710,00","10.714.285.714.285.700,00",84.0
2751,611.0,45.0,0.0,0.0,2.0,1,0,82403.08,0,"83.065.226.551,40","9.769.052.344.005.960,00","16.065.539.886.799,00","-7.042.490.682.870.180,00","18.834.370.862.998,00",0,0,1,0,1,0.0,0.0,0.0,0.0,0.0
1608,752.0,37.0,6.0,0.0,2.0,0,0,1187.88,0,"3.384.019.353,87","2.143.127.542.175.350,00","21.897.691.714.536.100,00","-12.014.570.936.458.500,00","3.477.302.627.182.980,00",1,0,0,0,1,0.0,0.0,0.0,"16.216.216.216.216.200,00",222.0
1389,551.0,31.0,9.0,82293.82,2.0,0,1,91565.25,1,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,2.0,"4.952.085.514.974.290,00","8.987.451.025.361.690,00","2.903.225.806.451.610,00",279.0
2607,747.0,58.0,9.0,114514.71,1.0,1,0,45414.12,1,"202.283.449.226,09","3.651.159.708.256.270,00","41.080.498.609.200.900,00","1.447.497.557.068.840,00","17.282.825.222.443.200,00",0,1,0,0,1,0.0,"1.883.609.951.486.450,00","2.521.566.200.115.730,00","15.517.241.379.310.300,00",522.0
1228,714.0,52.0,8.0,0.0,2.0,1,1,147815.19,0,"-392.302.312.755,70","-2.702.738.330.012.430,00","-88.675.144.639,13","2.501.445.451.971.860,00","29.699.949.704.962.900,00",1,0,0,0,1,2.0,0.0,0.0,"15.384.615.384.615.300,00",416.0
1230,683.0,30.0,4.0,114779.35,1.0,0,0,183171.47,0,"45.183.794.312,78","9.995.817.396.341.620,00","24.806.224.864.199.200,00","-6.802.743.586.023.620,00","10.340.030.024.062.800,00",1,0,0,0,1,0.0,"42.798.311.358.204.400,00","6.266.224.210.571.650,00","13.333.333.333.333.300,00",120.0
1665,684.0,31.0,3.0,142293.54,3.0,1,0,146650.6,1,"289.384,80","-11.706.510,20","-723.766,71","2.263.079,10","-578.798,66",0,1,0,1,0,0.0,"6.636.780.303.660.530,00","970.289.518.079.026,00","967.741.935.483.871,00",93.0
1265,696.0,27.0,5.0,0.0,2.0,0,0,181499.77,0,"-144.473.431,26","-65.037.874,89","-250.292.225,26","-2.736.634.062,79","-624.173.135,62",1,0,0,1,0,0.0,0.0,0.0,"18.518.518.518.518.500,00",135.0
487,773.0,36.0,8.0,77253.22,2.0,1,1,35817.97,0,"-4.535.890,55","-6.761.864,61","-20.397.268,07","-32.673.931,93","-36.857.202,30",1,0,0,0,1,2.0,"16.672.284.626.962.300,00","21.568.285.416.510.200,00","2.222.222.222.222.220,00",288.0
441,591.0,35.0,10.0,101099.9,1.0,1,0,195692.3,0,"4.642.149.964.651.770,00","8.392.933.419.600.220,00","-4.454.398.802.156.520,00","8.448.597.821.131.990,00","-19.691.985.973.327.500,00",0,1,0,1,0,0.0,"3.053.264.788.650.340,00","5.166.268.677.919.360,00","2.857.142.857.142.850,00",350.0
1768,488.0,34.0,5.0,154737.88,2.0,0,1,172638.13,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,2.0,"43.740.096.953.089.000,00","8.963.134.621.534.650,00","14.705.882.352.941.100,00",170.0
1335,685.0,31.0,10.0,122449.31,2.0,1,1,180769.55,0,"-33.791.760,69","4.686.946,16","4.718.883,83","-67.831.832,26","31.789.261,51",0,0,1,0,1,2.0,"4.640.039.063.548.030,00","6.773.779.654.814.650,00","3.225.806.451.612.900,00",310.0
1228,579.0,39.0,6.0,160541.0,2.0,1,1,149913.08,0,"-392.302.312.755,70","-2.702.738.330.012.430,00","-88.675.144.639,13","2.501.445.451.971.860,00","29.699.949.704.962.900,00",1,0,0,0,1,2.0,"6.200.475.568.909.660,00","1.070.893.880.640.700,00","15.384.615.384.615.300,00",234.0
539,607.0,26.0,1.0,0.0,2.0,1,0,29818.2,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0.0,0.0,0.0,"38.461.538.461.538.400,00",26.0
35,742.0,29.0,8.0,92219.41,1.0,1,1,132468.76,0,"-197.313.264,25","17.117.464.232,77","-27.860.443.687,40","-19.388.878.926,91","1.263.277.435,01",1,0,0,1,0,1.0,"5.165.504.849.596.230,00","6.961.596.832.339.940,00","27.586.206.896.551.700,00",232.0
2570,611.0,25.0,7.0,131344.52,1.0,0,1,24677.54,0,"7.404.551.884.214.980,00","-1.557.829.865.650.530,00","6.473.074.857.287.980,00","-17.903.768.801.332.700,00","9.854.938.557.155.760,00",1,0,0,0,1,1.0,"32.520.057.396.320.700,00","5.322.431.652.425.640,00",0.28,175.0
2055,677.0,31.0,3.0,0.0,2.0,1,1,182633.63,0,"1.839.628.845,01","4.301.980.779,74","129.147.392.263,76","215.664.621.448,27","-47.796.617.323,90",1,0,0,1,0,2.0,0.0,0.0,"967.741.935.483.871,00",93.0
2039,461.0,40.0,6.0,122314.64,1.0,1,0,172450.19,1,"-744.452,88","17.684.121,33","35.550.626,73","-909.607,41","2.150.113,93",1,0,0,1,0,0.0,"3.269.758.591.741.760,00","7.092.751.825.904.040,00",0.15,240.0
1943,753.0,37.0,8.0,0.0,1.0,1,1,168816.35,0,"-552.356.608,69","-27.161.090.685,75","-34.551.242.364,91","-8.343.644.242,13","458.296.082,02",0,0,1,0,1,1.0,0.0,0.0,"21.621.621.621.621.600,00",296.0
2665,634.0,47.0,1.0,0.0,1.0,1,0,73883.56,1,"-122.964.167.187,08","-1.650.446.416.310.130,00","-22.538.153.569.832.700,00","-2.738.755.264.670.330,00","18.778.913.648.396.700,00",1,0,0,1,0,0.0,0.0,0.0,"2.127.659.574.468.080,00",47.0
2200,647.0,34.0,9.0,132439.99,1.0,1,0,177747.72,0,"-18.092,40","18.610,73","2.087,65","-30.690,19","71.227,56",0,0,1,0,1,0.0,"4.820.802.963.323.520,00","7.451.009.216.883.340,00","2.647.058.823.529.410,00",306.0
1023,577.0,36.0,3.0,112668.48,1.0,1,1,171344.02,0,"-285.463.676,93","2.445.974.063,63","2.832.517.798,11","2.205.404.795,97","28.087.035.765,39",1,0,0,0,1,1.0,"37.941.045.716.097.900,00","657.557.118.129.947,00","8.333.333.333.333.330,00",108.0
2541,809.0,31.0,5.0,0.0,2.0,1,0,122782.5,0,"12.490.815,82","9.115.016,55","152.166.886,88","37.300.517,89","-12.423.821,61",1,0,0,0,1,0.0,0.0,0.0,"16.129.032.258.064.500,00",155.0
1944,686.0,45.0,4.0,0.0,1.0,1,0,155023.93,1,"2.291.223.550,18","-472.839.251,42","37.812.627.252,77","20.604.858.517,89","-522.136.182,56",1,0,0,1,0,0.0,0.0,0.0,"8.888.888.888.888.880,00",180.0
1716,633.0,29.0,6.0,0.0,2.0,1,0,93874.67,0,"-16.110.619.815,60","-45.887.196.836,30","-9.223.667.549,46","-9.319.076.338,77","-11.991.183.301.709.500,00",1,0,0,1,0,0.0,0.0,0.0,"20.689.655.172.413.700,00",174.0
1236,494.0,36.0,6.0,0.0,1.0,1,1,95583.52,0,"-3.447.294.172.650.730,00","-2.025.033.659.055.650,00","-10.280.719.705.962.700,00","-938.715.514.665.035,00","15.068.643.143.363.400,00",1,0,0,1,0,1.0,0.0,0.0,"16.666.666.666.666.600,00",216.0
2415,699.0,31.0,7.0,0.0,2.0,1,0,171922.92,0,"39.136.438.012,68","-61.858.247.484,18","142.791.938.255,03","3.986.181.419,02","-17.825.951.104.152.500,00",1,0,0,0,1,0.0,0.0,0.0,"22.580.645.161.290.300,00",217.0
1631,668.0,38.0,4.0,131136.97,2.0,1,1,93713.83,0,0.0,0.0,0.0,0.0,0.0,0,1,0,0,1,2.0,"9.347.552.646.178.260,00","13.993.342.284.698,00","10.526.315.789.473.600,00",152.0
391,703.0,37.0,1.0,0.0,2.0,1,1,166850.97,0,"-819.586.574,57","-124.885.093,38","16.105.386.410,75","-86.245.864.283,03","-14.879.092.385,14",1,0,0,0,1,2.0,0.0,0.0,"2.702.702.702.702.700,00",37.0
1971,663.0,54.0,6.0,0.0,1.0,1,1,170950.58,1,"180.489.219,85","-3.124.057.868,31","219.584.142.406,60","-16.996.098.794.589.300,00","7.497.537.760,81",1,0,0,1,0,1.0,0.0,0.0,"1.111.111.111.111.110,00",324.0
2567,756.0,41.0,3.0,124439.49,2.0,1,1,47093.11,0,"31.801.845.753.462.300,00","-8.073.113.398.791.390,00","-2.768.624.084.725.790,00","-72.426.243.806.898.600,00","-1.096.923.761.092.610,00",0,1,0,0,1,2.0,"19.976.649.331.505.100,00","2.642.413.932.738.780,00","7.317.073.170.731.700,00",123.0
1228,648.0,56.0,0.0,110939.3,1.0,1,1,92927.42,1,"-392.302.312.755,70","-2.702.738.330.012.430,00","-88.675.144.639,13","2.501.445.451.971.860,00","29.699.949.704.962.900,00",0,0,1,0,1,1.0,"7.736.001.537.544.030,00","11.938.273.977.691.400,00",0.0,0.0
2751,599.0,35.0,8.0,0.0,2.0,1,1,59816.41,0,"83.065.226.551,40","9.769.052.344.005.960,00","16.065.539.886.799,00","-7.042.490.682.870.180,00","18.834.370.862.998,00",0,0,1,0,1,2.0,0.0,0.0,"22.857.142.857.142.800,00",280.0
1642,678.0,43.0,8.0,129845.53,1.0,0,0,120853.51,1,"22.899.287.993.415.800,00","-35.239.375.060.459.000,00","-1.047.081.420.579.200,00","15.209.271.710.300.700,00","10.424.041.916.254.300,00",0,1,0,1,0,0.0,"7.284.461.108.328.580,00","10.744.042.932.638.000,00","18.604.651.162.790.600,00",344.0
2570,563.0,43.0,7.0,146425.31,1.0,1,0,139435.54,0,"7.404.551.884.214.980,00","-1.557.829.865.650.530,00","6.473.074.857.287.980,00","-17.903.768.801.332.700,00","9.854.938.557.155.760,00",1,0,0,0,1,0.0,"591.222.650.480.645,00","10.501.290.417.062.900,00","16.279.069.767.441.800,00",301.0
1234,682.0,34.0,5.0,126731.71,1.0,1,0,153870.58,1,"-33.650.551.796.803.700,00","41.633.597.841.812.800,00","10.514.330.838.462.300,00","-17.397.073.028.674.600,00","35.116.932.904.321.100,00",0,1,0,1,0,0.0,"5.617.124.873.383.850,00","8.236.253.480.034.970,00","14.705.882.352.941.100,00",170.0
1542,620.0,46.0,8.0,177799.83,1.0,1,1,45414.09,0,"-7.361.502.151,11","18.141.213.768,53","85.617.723.564,27","-2.022.404.038.774.250,00","4.572.653.488.699.570,00",1,0,0,0,1,1.0,"24.273.500.713.104.600,00","3.915.080.760.178.170,00","17.391.304.347.826.000,00",368.0
2415,721.0,30.0,9.0,0.0,2.0,1,1,177747.05,0,"39.136.438.012,68","-61.858.247.484,18","142.791.938.255,03","3.986.181.419,02","-17.825.951.104.152.500,00",0,0,1,0,1,2.0,0.0,0.0,0.3,270.0
2863,652.0,40.0,0.0,0.0,2.0,0,0,145593.85,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0
1643,535.0,34.0,3.0,123575.51,2.0,1,1,121525.48,0,"-6.604.895,11","370.326.897.314,72","280.827.916.730,34","83.591.035.438,28","15.117.010.549.974.800,00",1,0,0,0,1,2.0,"5.440.249.884.221.810,00","10.168.691.372.377.200,00","8.823.529.411.764.700,00",102.0
1715,584.0,26.0,1.0,127539.9,2.0,0,0,82712.53,0,"-5.472.399.164.123.460,00","-3.177.158.810.026.040,00","222.711.068.547.099,00","14.670.482.448.735.000,00","17.169.935.933.054.800,00",0,1,0,0,1,0.0,"9.005.080.802.146.900,00","15.419.658.907.785.700,00","38.461.538.461.538.400,00",26.0
1407,701.0,35.0,2.0,0.0,2.0,0,0,170996.86,0,"-23.754.110,13","-103.985.043,11","-6.966.485,31","-32.249.802,42","179.553.918,17",0,0,1,1,0,0.0,0.0,0.0,"5.714.285.714.285.710,00",70.0
2653,577.0,42.0,2.0,127539.97,1.0,1,1,85412.28,0,"-18.971.648.330.113.100,00","12.070.263.511.534.400,00","18.335.403.906.103.200,00","6.666.282.489.581.940,00","-4.806.668.023.290.610,00",1,0,0,0,1,1.0,"8.615.922.990.230.440,00","14.932.275.546.326.500,00","47.619.047.619.047.600,00",84.0
264,663.0,34.0,1.0,131569.63,1.0,1,1,158071.69,0,0.0,0.0,0.0,0.0,0.0,0,1,0,1,0,1.0,"5.518.424.247.251.350,00","8.323.415.154.225.270,00","29.411.764.705.882.300,00",34.0
1230,640.0,50.0,1.0,0.0,2.0,0,1,13906.34,0,"45.183.794.312,78","9.995.817.396.341.620,00","24.806.224.864.199.200,00","-6.802.743.586.023.620,00","10.340.030.024.062.800,00",0,0,1,0,1,2.0,0.0,0.0,0.02,50.0
2101,711.0,36.0,1.0,139422.39,1.0,1,0,44965.44,0,"480.710.993,85","-9.351.596.251,10","34.120.195.169,64","-190.996.097.496,84","-16.373.905.231,39",0,0,1,0,1,0.0,"22.045.668.693.556.600,00","3.100.656.637.631.030,00","27.777.777.777.777.700,00",36.0
1573,707.0,38.0,5.0,106920.91,1.0,0,1,52404.47,1,"20.935.539.668.131.500,00","6.491.642.022.669.060,00","-5.902.289.441.122.180,00","4.340.140.635.969.930,00","-12.831.299.400.081.400,00",0,1,0,1,0,1.0,"14.424.930.424.828.200,00","2.040.301.333.073.300,00","13.157.894.736.842.100,00",190.0
148,631.0,31.0,1.0,141859.12,1.0,1,1,74532.02,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,1.0,"12.010.019.951.156.500,00","19.033.312.125.446.200,00","3.225.806.451.612.900,00",31.0
1950,637.0,64.0,1.0,0.0,1.0,0,1,181490.42,0,"-408.438,06","2.396.762,23","15.326.934,14","-6.616.049,49","27.152.407,36",0,0,1,0,1,1.0,0.0,0.0,"15.625,00",64.0
1081,622.0,29.0,9.0,0.0,2.0,1,1,155786.39,0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,2.0,0.0,0.0,"3.103.448.275.862.060,00",261.0
468,494.0,30.0,3.0,85704.95,1.0,1,0,27886.06,0,"277.892.528.811,81","350.408.197.285,44","70.192.590.318,85","5.923.524.887.877.920,00","-2.992.700.694.659.360,00",1,0,0,0,1,0.0,"151.825.841.657.086,00","30.733.976.043.944.500,00",0.1,90.0
1262,775.0,20.0,6.0,109026.6,1.0,1,1,120801.65,0,"1.589,49","1.343.133,35","1.620.760,25","-2.173.294,74","224.886,80",1,0,0,1,0,1.0,"6.994.574.577.416.780,00","9.025.257.519.247.460,00",0.3,120.0
503,817.0,31.0,7.0,117799.28,1.0,1,1,182372.35,0,"-16.228.952,41","6.063.821,11","17.325.306,07","-29.984.057,74","48.993.237,87",1,0,0,1,0,1.0,"5.277.226.057.568.480,00","6.459.273.020.279.660,00","22.580.645.161.290.300,00",217.0
852,703.0,38.0,10.0,0.0,2.0,1,1,170886.87,0,"2.917.099.283.322.320,00","-4.230.571.786.394.590,00","23.413.879.249.551.400,00","-11.661.484.811.111.800,00","5.238.581.637.951.790,00",1,0,0,0,1,2.0,0.0,0.0,"2.631.578.947.368.420,00",380.0
852,592.0,32.0,7.0,0.0,2.0,1,1,140941.47,0,"2.917.099.283.322.320,00","-4.230.571.786.394.590,00","23.413.879.249.551.400,00","-11.661.484.811.111.800,00","5.238.581.637.951.790,00",0,0,1,0,1,2.0,0.0,0.0,"21.875,00",224.0
1941,743.0,37.0,2.0,132627.51,1.0,1,0,183566.87,1,"293.591.783,99","440.820.094,74","636.389.215,32","34.216.800.326,02","-4.972.833.136,62",0,1,0,0,1,0.0,"5.368.193.069.370.300,00","7.225.024.319.475.510,00","5.405.405.405.405.400,00",74.0
1906,726.0,26.0,5.0,0.0,2.0,1,0,52449.97,1,"1.003.981,93","-2.599.769,80","-335.663,98","1.908.726,88","-2.829.768,23",1,0,0,1,0,0.0,0.0,0.0,"19.230.769.230.769.200,00",130.0
1817,431.0,37.0,4.0,0.0,2.0,1,1,171344.06,0,"11.773.318,29","281.748.516,55","38.736.676,85","4.896.355,79","55.815.285,56",1,0,0,0,1,2.0,0.0,0.0,"10.810.810.810.810.800,00",148.0
1335,571.0,50.0,4.0,0.0,1.0,1,0,145567.36,1,"-33.791.760,69","4.686.946,16","4.718.883,83","-67.831.832,26","31.789.261,51",1,0,0,1,0,0.0,0.0,0.0,0.08,200.0
2389,588.0,30.0,10.0,126683.4,1.0,1,1,131636.55,0,"62.587.671.060,01","126.445.476.336,79","4.107.843.885.343.790,00","1.504.615.701.106.260,00","28.246.899.418.336.900,00",0,1,0,0,1,1.0,"5.658.750.491.409.870,00","9.623.725.325.526.990,00","3.333.333.333.333.330,00",300.0
2436,659.0,39.0,0.0,107042.74,1.0,1,0,102284.2,1,"-3.095.615.848.582.260,00","20.076.940.125.195.500,00","10.732.717.494.565.800,00","-2.162.793.856.410.280,00","11.919.481.848.666.800,00",0,0,1,1,0,0.0,"6.896.584.776.534.400,00","10.465.227.278.504.400,00",0.0,0.0
76,743.0,43.0,2.0,161807.18,2.0,0,1,93228.86,0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,2.0,"12.895.441.898.570.800,00","17.355.911.034.415.700,00","46.511.627.906.976.700,00",86.0
2436,639.0,43.0,7.0,123873.52,1.0,1,1,51113.17,0,"-3.095.615.848.582.260,00","20.076.940.125.195.500,00","10.732.717.494.565.800,00","-2.162.793.856.410.280,00","11.919.481.848.666.800,00",0,1,0,1,0,1.0,"1.548.625.907.569.410,00","24.235.147.223.308.500,00","16.279.069.767.441.800,00",301.0
2825,618.0,35.0,5.0,133476.09,1.0,0,1,154843.4,0,"238.447,64","11.506.950,32","-762.681,75","-3.440.810,87","44.314.268,12",0,0,1,0,1,1.0,"532.720.307.226.527,00","8.620.069.696.222.110,00","14.285.714.285.714.200,00",175.0
